Muestra	Gene	Locus_Tag	Producto	Cobertura
51_S1	rpmJ	lmo2609	50S ribosomal protein L36	37.972973
51_S1	tuf	lmo2653	elongation factor Tu	28.829536
51_S1	rplB	lmo2629	50S ribosomal protein L2	17.097473
51_S1	rpsS	lmo2628	30S ribosomal protein S19	9.362319
51_S1	rpmA	lmo1540	50S ribosomal protein L27	6.586805
51_S1	rpsB	lmo1658	30S ribosomal protein S2	6.535475
51_S1		lmo1097a	hypothetical protein	6.328283
51_S1	rpsH	lmo2618	30S ribosomal protein S8	5.462121
51_S1	atpA	lmo2531	ATP synthase F0F1 subunit alpha	5.179894
51_S1	rplA	lmo0249	50S ribosomal protein L1	4.914119
51_S1	dnaK	lmo1473	molecular chaperone DnaK	4.887982
51_S1	fus	lmo2654	elongation factor G	4.189448
51_S1		lmo2511	hypothetical protein	3.616756
51_S1	eno	lmo2455	phosphopyruvate hydratase	3.084496
51_S1		lmo2703	hypothetical protein	2.904762
51_S1	atpD	lmo2529	ATP synthase F0F1 subunit beta	2.698379
51_S1		lmo1391	sugar ABC transporter permease	1.794304
51_S1	tsf	lmo1657	elongation factor Ts	1.782313
51_S1	pgk	lmo2458	phosphoglycerate kinase	1.597643
51_S1	pdhA	lmo1052	pyruvate dehydrogenase subunit E1 alpha	1.457323
51_S1		lmo2689a	hypothetical protein	1.384921
51_S1	rpsN	lmo2619	30S ribosomal protein S14	1.224044
51_S1		lmo1978	glucose-6-phosphate 1-dehydrogenase	0.966735
51_S1	rpoB	lmo0258	DNA-directed RNA polymerase subunit beta	0.946790
51_S1	cspL	lmo1364	cold-shock protein	0.919192
51_S1	rpsJ	lmo2633	30S ribosomal protein S10	0.879085
51_S1	pflB	lmo1406	pyruvate formate-lyase	0.777030
51_S1	gap	lmo2459	glyceraldehyde-3-phosphate dehydrogenase	0.729167
51_S1	rpsK	lmo2607	30S ribosomal protein S11	0.679587
51_S1		lmo1875	ABC transporter ATP-binding protein	0.659259
51_S1	rpoC	lmo0259	DNA-directed RNA polymerase subunit beta'	0.577852
51_S1		lmo1853	heavy metal-transporting ATPase	0.545002
51_S1	rplK	lmo0248	50S ribosomal protein L11	0.534279
51_S1	rpsM	lmo2608	30S ribosomal protein S13	0.501377
51_S1	leuS	lmo1660	leucyl-tRNA synthetase	0.480697
51_S1	rpsG	lmo2655	30S ribosomal protein S7	0.429487
51_S1	rplF	lmo2617	50S ribosomal protein L6	0.428839
51_S1		lmo0107	ABC transporter ATP-binding protein	0.363125
51_S1	rpsE	lmo2615	30S ribosomal protein S5	0.335329
51_S1	rpsL	lmo2656	30S ribosomal protein S12	0.328467
51_S1	rpsP	lmo1797	30S ribosomal protein S16	0.292593
51_S1	rplE	lmo2620	50S ribosomal protein L5	0.292365
51_S1	prfC	lmo0988	peptide chain release factor 3	0.232439
51_S1	groES	lmo2069	co-chaperonin GroES	0.205674
51_S1	gatB	lmo1754	aspartyl/glutamyl-tRNA amidotransferase subunit B	0.181373
51_S1	gidB	lmo2802	16S rRNA methyltransferase GidB	0.170868
51_S1	secA	lmo2510	preprotein translocase subunit SecA	0.167264
51_S1		lmo0866	ATP-dependent RNA helicase	0.164103
51_S1	engA	lmo1937	GTP-binding protein EngA	0.163609
51_S1		lmo1634	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	0.161663
51_S1	def	lmo1051	peptide deformylase	0.160291
51_S1		lmo1027	hypothetical protein	0.138739
51_S1		lmo1799	peptidoglycan binding protein	0.134736
51_S1	pykA	lmo1570	pyruvate kinase	0.122507
51_S1		lmo1067	GTP-binding elongation factor	0.119281
51_S1	murA	lmo2526	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	0.109302
51_S1		lmo0369	hypothetical protein	0.101813
51_S1		lmo2121	maltose phosphorylase	0.090305
51_S1	groEL	lmo2068	molecular chaperone GroEL	0.088561
51_S1		lmo0097	PTS mannose transporter subunit IIC	0.088308
51_S1	nusA	lmo1322	transcription elongation factor NusA	0.087814
51_S1		lmo2411	hypothetical protein	0.086925
51_S1		lmo0039	carbamate kinase	0.083067
51_S1	glpK	lmo1538	glycerol kinase	0.080483
51_S1	ftsH	lmo0220	cell division protein FtsH	0.079595
51_S1	pnpA	lmo1331	polynucleotide phosphorylase	0.071461
51_S1	gatA	lmo1755	aspartyl/glutamyl-tRNA amidotransferase subunit A	0.062112
51_S1		lmo2544	thymidine kinase	0.061082
51_S1	tcsA	lmo1388	CD4+ T cell-stimulating antigen, lipoprotein	0.058824
51_S1	nifJ	lmo0829	pyruvate-flavodoxin oxidoreductase	0.055418
51_S1	infB	lmo1325	translation initiation factor IF-2	0.052632
51_S1	clpE	lmo0997	ATP-dependent protease	0.041897
51_S1	carB	lmo1835	carbamoyl-phosphate synthetase	0.036449
51_S1	PdhB	lmo1053	pyruvate dehydrogenase subunit E1 beta	0.032821
51_S1		lmo1611	aminopeptidase	0.024276
51_S1	polC	lmo1320	DNA polymerase III PolC	0.015697
51_S1		lmo0841	calcium-transporting ATPase	0.012121
52_S2	rpmJ	lmo2609	50S ribosomal protein L36	82.855858
52_S2	tuf	lmo2653	elongation factor Tu	71.250633
52_S2	rplB	lmo2629	50S ribosomal protein L2	48.164860
52_S2	rpsS	lmo2628	30S ribosomal protein S19	23.985508
52_S2	rpsB	lmo1658	30S ribosomal protein S2	18.452476
52_S2	rplA	lmo0249	50S ribosomal protein L1	15.970888
52_S2	rpmA	lmo1540	50S ribosomal protein L27	13.996528
52_S2	atpA	lmo2531	ATP synthase F0F1 subunit alpha	12.103174
52_S2	fus	lmo2654	elongation factor G	11.435971
52_S2		lmo1097a	hypothetical protein	10.500000
52_S2		lmo2511	hypothetical protein	9.122994
52_S2	rpsJ	lmo2633	30S ribosomal protein S10	8.764706
52_S2	dnaK	lmo1473	molecular chaperone DnaK	8.532898
52_S2		lmo1391	sugar ABC transporter permease	6.996835
52_S2	pdhA	lmo1052	pyruvate dehydrogenase subunit E1 alpha	6.334232
52_S2	tsf	lmo1657	elongation factor Ts	6.017007
52_S2	rpsH	lmo2618	30S ribosomal protein S8	5.734849
52_S2	atpD	lmo2529	ATP synthase F0F1 subunit beta	5.408034
52_S2		lmo2703	hypothetical protein	4.234921
52_S2	pflB	lmo1406	pyruvate formate-lyase	3.492598
52_S2	rpsM	lmo2608	30S ribosomal protein S13	3.104683
52_S2	gap	lmo2459	glyceraldehyde-3-phosphate dehydrogenase	2.966270
52_S2		lmo1978	glucose-6-phosphate 1-dehydrogenase	2.701969
52_S2	pgk	lmo2458	phosphoglycerate kinase	2.615320
52_S2	rplK	lmo0248	50S ribosomal protein L11	1.803783
52_S2	rpoB	lmo0258	DNA-directed RNA polymerase subunit beta	1.732545
52_S2	eno	lmo2455	phosphopyruvate hydratase	1.700000
52_S2		lmo1875	ABC transporter ATP-binding protein	1.649736
52_S2	gatB	lmo1754	aspartyl/glutamyl-tRNA amidotransferase subunit B	1.188375
52_S2		lmo1853	heavy metal-transporting ATPase	1.063772
52_S2	rpsN	lmo2619	30S ribosomal protein S14	1.043716
52_S2		lmo0107	ABC transporter ATP-binding protein	0.899382
52_S2		lmo2689a	hypothetical protein	0.880952
52_S2	leuS	lmo1660	leucyl-tRNA synthetase	0.762557
52_S2	rpoC	lmo0259	DNA-directed RNA polymerase subunit beta'	0.643908
52_S2	rpsP	lmo1797	30S ribosomal protein S16	0.637037
