Muestra	Gene	Locus_Tag	Producto	Cobertura
UC01-IgG-neg_S62	tuf	lmo2653	elongation factor Tu	0.616878
UC01-IgG-neg_S62	rplA	lmo0249	50S ribosomal protein L1	0.411936
UC01-IgG-neg_S62	rplB	lmo2629	50S ribosomal protein L2	0.329723
UC01-IgG-neg_S62		lmo1097a	hypothetical protein	0.297980
UC01-IgG-neg_S62		lmo2703	hypothetical protein	0.241270
UC01-IgG-neg_S62	eno	lmo2455	phosphopyruvate hydratase	0.205426
UC01-IgG-neg_S62	tsf	lmo1657	elongation factor Ts	0.142857
UC01-IgG-neg_S62	dnaK	lmo1473	molecular chaperone DnaK	0.125612
UC01-IgG-neg_S62	atpA	lmo2531	ATP synthase F0F1 subunit alpha	0.083995
UC01-IgG-neg_S62	glyA	lmo2539	serine hydroxymethyltransferase	0.066989
UC01-IgG-neg_S62	pdhA	lmo1052	pyruvate dehydrogenase subunit E1 alpha	0.061995
UC01-IgG-neg_S62	tpiA	lmo2457	triosephosphate isomerase	0.046481
UC01-IgG-neg_S62		lmo1978	glucose-6-phosphate 1-dehydrogenase	0.043449
UC01-IgG-neg_S62		lmo1081	glucose-1-phosphate thymidyl transferase	0.037037
UC01-IgG-neg_S62	gap	lmo2459	glyceraldehyde-3-phosphate dehydrogenase	0.032738
UC01-IgG-neg_S62	fus	lmo2654	elongation factor G	0.032614
UC01-IgG-neg_S62	glpK	lmo1538	glycerol kinase	0.022133
UC01-IgG-neg_S62	pflB	lmo1406	pyruvate formate-lyase	0.015702
UC01-IgG-neg_S62	rpoB	lmo0258	DNA-directed RNA polymerase subunit beta	0.007320
UC01-IgG-pos_S63	rpmJ	lmo2609	50S ribosomal protein L36	20.936937
UC01-IgG-pos_S63	tuf	lmo2653	elongation factor Tu	16.331646
UC01-IgG-pos_S63	rplB	lmo2629	50S ribosomal protein L2	10.315283
UC01-IgG-pos_S63	rpsS	lmo2628	30S ribosomal protein S19	8.025362
UC01-IgG-pos_S63	rpsB	lmo1658	30S ribosomal protein S2	7.373494
UC01-IgG-pos_S63	rpmA	lmo1540	50S ribosomal protein L27	5.493055
UC01-IgG-pos_S63	rpsJ	lmo2633	30S ribosomal protein S10	2.993464
UC01-IgG-pos_S63		lmo2703	hypothetical protein	2.955555
UC01-IgG-pos_S63	rplA	lmo0249	50S ribosomal protein L1	2.844250
UC01-IgG-pos_S63		lmo2511	hypothetical protein	2.828877
UC01-IgG-pos_S63	tsf	lmo1657	elongation factor Ts	2.401361
UC01-IgG-pos_S63	atpA	lmo2531	ATP synthase F0F1 subunit alpha	2.371032
UC01-IgG-pos_S63		lmo1391	sugar ABC transporter permease	2.064346
UC01-IgG-pos_S63	rpsH	lmo2618	30S ribosomal protein S8	1.921717
UC01-IgG-pos_S63	dnaK	lmo1473	molecular chaperone DnaK	1.726482
UC01-IgG-pos_S63	fus	lmo2654	elongation factor G	1.684892
UC01-IgG-pos_S63	pdhA	lmo1052	pyruvate dehydrogenase subunit E1 alpha	1.495058
UC01-IgG-pos_S63	pgk	lmo2458	phosphoglycerate kinase	1.056397
UC01-IgG-pos_S63	atpD	lmo2529	ATP synthase F0F1 subunit beta	0.988020
UC01-IgG-pos_S63		lmo1978	glucose-6-phosphate 1-dehydrogenase	0.926680
UC01-IgG-pos_S63	pflB	lmo1406	pyruvate formate-lyase	0.877075
UC01-IgG-pos_S63	gatB	lmo1754	aspartyl/glutamyl-tRNA amidotransferase subunit B	0.874650
UC01-IgG-pos_S63	gap	lmo2459	glyceraldehyde-3-phosphate dehydrogenase	0.864087
UC01-IgG-pos_S63	rpsM	lmo2608	30S ribosomal protein S13	0.856749
UC01-IgG-pos_S63	eno	lmo2455	phosphopyruvate hydratase	0.751938
UC01-IgG-pos_S63		lmo1097a	hypothetical protein	0.636364
UC01-IgG-pos_S63	rpoB	lmo0258	DNA-directed RNA polymerase subunit beta	0.574606
UC01-IgG-pos_S63		lmo1875	ABC transporter ATP-binding protein	0.566667
UC01-IgG-pos_S63	rpsN	lmo2619	30S ribosomal protein S14	0.360656
UC01-IgG-pos_S63	leuS	lmo1660	leucyl-tRNA synthetase	0.351183
UC01-IgG-pos_S63		lmo0107	ABC transporter ATP-binding protein	0.324902
UC01-IgG-pos_S63		lmo1853	heavy metal-transporting ATPase	0.249661
UC01-IgG-pos_S63	rpsP	lmo1797	30S ribosomal protein S16	0.244444
UC01-IgG-pos_S63	rplM	lmo2597	50S ribosomal protein L13	0.206897
UC01-IgG-pos_S63		lmo2159	oxidoreductase	0.134670
UC01-IgG-pos_S63	rpsC	lmo2626	30S ribosomal protein S3	0.134557
UC01-IgG-pos_S63	polC	lmo1320	DNA polymerase III PolC	0.133195
UC01-IgG-pos_S63		lmo2411	hypothetical protein	0.115661
UC01-IgG-pos_S63	pnpA	lmo1331	polynucleotide phosphorylase	0.109728
UC01-IgG-pos_S63	guaA	lmo1096	GMP synthase	0.105534
UC01-IgG-pos_S63	rpsL	lmo2656	30S ribosomal protein S12	0.087591
UC01-IgG-pos_S63	prfC	lmo0988	peptide chain release factor 3	0.086846
UC01-IgG-pos_S63	rplK	lmo0248	50S ribosomal protein L11	0.066194
UC01-IgG-pos_S63	rpoC	lmo0259	DNA-directed RNA polymerase subunit beta'	0.063836
UC01-IgG-pos_S63		lmo0383	methylmalonate-semialdehyde dehydrogenase	0.058743
UC01-IgG-pos_S63	ftsH	lmo0220	cell division protein FtsH	0.056922
UC01-IgG-pos_S63	guaB	lmo2758	inosine-monophosphate dehydrogenase	0.050546
UC01-IgG-pos_S63		lmo1106	hypothetical protein	0.037173
UC01-IgG-pos_S63		lmo1027	hypothetical protein	0.036036
UC01-IgG-pos_S63	lysS	lmo0228	lysyl-tRNA synthetase	0.024096
UC01-IgG-pos_S63	gidA	lmo2810	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	0.023317
UC01-IgG-pos_S63	gyrA	lmo0007	DNA gyrase subunit A	0.011876
UC02-IgG-neg_S64	tuf	lmo2653	elongation factor Tu	1.282700
UC02-IgG-neg_S64	rpsJ	lmo2633	30S ribosomal protein S10	0.705882
UC02-IgG-neg_S64	rpmA	lmo1540	50S ribosomal protein L27	0.687500
UC02-IgG-neg_S64	rpsK	lmo2607	30S ribosomal protein S11	0.506460
UC02-IgG-neg_S64	cspL	lmo1364	cold-shock protein	0.434343
UC02-IgG-neg_S64	rplB	lmo2629	50S ribosomal protein L2	0.400722
UC02-IgG-neg_S64	eno	lmo2455	phosphopyruvate hydratase	0.399225
UC02-IgG-neg_S64	rplA	lmo0249	50S ribosomal protein L1	0.334789
UC02-IgG-neg_S64	rpsH	lmo2618	30S ribosomal protein S8	0.328283
UC02-IgG-neg_S64	fus	lmo2654	elongation factor G	0.235492
UC02-IgG-neg_S64	rplK	lmo0248	50S ribosomal protein L11	0.203310
UC02-IgG-neg_S64	rpsB	lmo1658	30S ribosomal protein S2	0.186078
UC02-IgG-neg_S64	pflB	lmo1406	pyruvate formate-lyase	0.149843
UC02-IgG-neg_S64	dnaK	lmo1473	molecular chaperone DnaK	0.142469
UC02-IgG-neg_S64	rplU	lmo1542	50S ribosomal protein L21	0.127451
UC02-IgG-neg_S64	atpD	lmo2529	ATP synthase F0F1 subunit beta	0.093023
UC02-IgG-neg_S64	atpA	lmo2531	ATP synthase F0F1 subunit alpha	0.085318
UC02-IgG-neg_S64	rpsL	lmo2656	30S ribosomal protein S12	0.085158
UC02-IgG-neg_S64	pnpA	lmo1331	polynucleotide phosphorylase	0.077916
UC02-IgG-neg_S64	leuS	lmo1660	leucyl-tRNA synthetase	0.070569
UC02-IgG-neg_S64		lmo1391	sugar ABC transporter permease	0.069620
UC02-IgG-neg_S64	rpoB	lmo0258	DNA-directed RNA polymerase subunit beta	0.055462
UC02-IgG-neg_S64	secA	lmo2510	preprotein translocase subunit SecA	0.054958
UC02-IgG-neg_S64	rpoC	lmo0259	DNA-directed RNA polymerase subunit beta'	0.051624
UC02-IgG-neg_S64	gatB	lmo1754	aspartyl/glutamyl-tRNA amidotransferase subunit B	0.049020
UC02-IgG-neg_S64		lmo1853	heavy metal-transporting ATPase	0.042967
UC02-IgG-neg_S64	prs	lmo0199	ribose-phosphate pyrophosphokinase	0.041929
UC02-IgG-neg_S64		lmo1067	GTP-binding elongation factor	0.034858
UC02-IgG-neg_S64	pgk	lmo2458	phosphoglycerate kinase	0.030303
UC02-IgG-pos_S65	rpmJ	lmo2609	50S ribosomal protein L36	26.558559
UC02-IgG-pos_S65	tuf	lmo2653	elongation factor Tu	24.829536
UC02-IgG-pos_S65	rplB	lmo2629	50S ribosomal protein L2	11.799037
UC02-IgG-pos_S65	rpsS	lmo2628	30S ribosomal protein S19	6.699275
UC02-IgG-pos_S65	rpsB	lmo1658	30S ribosomal protein S2	6.336011
UC02-IgG-pos_S65	rpmA	lmo1540	50S ribosomal protein L27	4.954861
UC02-IgG-pos_S65	rpsJ	lmo2633	30S ribosomal protein S10	4.627451
UC02-IgG-pos_S65	rplA	lmo0249	50S ribosomal protein L1	4.283843
UC02-IgG-pos_S65		lmo2511	hypothetical protein	4.201426
UC02-IgG-pos_S65	fus	lmo2654	elongation factor G	4.130935
UC02-IgG-pos_S65		lmo1097a	hypothetical protein	3.878788
UC02-IgG-pos_S65	atpA	lmo2531	ATP synthase F0F1 subunit alpha	3.527778
UC02-IgG-pos_S65	pdhA	lmo1052	pyruvate dehydrogenase subunit E1 alpha	3.166217
UC02-IgG-pos_S65	tsf	lmo1657	elongation factor Ts	2.879819
UC02-IgG-pos_S65	dnaK	lmo1473	molecular chaperone DnaK	2.208265
UC02-IgG-pos_S65	rpsH	lmo2618	30S ribosomal protein S8	1.997475
UC02-IgG-pos_S65		lmo1391	sugar ABC transporter permease	1.968355
UC02-IgG-pos_S65	atpD	lmo2529	ATP synthase F0F1 subunit beta	1.646934
UC02-IgG-pos_S65		lmo2703	hypothetical protein	1.580952
UC02-IgG-pos_S65	rpsN	lmo2619	30S ribosomal protein S14	1.338798
UC02-IgG-pos_S65	pgk	lmo2458	phosphoglycerate kinase	1.218014
