Muestra	Ranking	Gene	Locus_Tag	Cobertura
HC01IgGneg_S1	1	tuf	lmo2653	0.711392
HC01IgGneg_S1	2	rpsK	lmo2607	0.416021
HC01IgGneg_S1	3	lmo1097a	lmo1097a	0.343434
HC01IgGneg_S1	4	rpmA	lmo1540	0.277778
HC01IgGneg_S1	5	rplA	lmo0249	0.263464
HC01IgGneg_S1	6	rpoB	lmo0258	0.228604
HC01IgGneg_S1	7	pflB	lmo1406	0.107223
HC01IgGneg_S1	8	tsf	lmo1657	0.095238
HC01IgGneg_S1	9	rplL	lmo0251	0.094444
HC01IgGneg_S1	10	rplX	lmo2621	0.093851
HC01IgGneg_S1	11	dnaK	lmo1473	0.070691
HC01IgGneg_S1	12	lmo1081	lmo1081	0.037037
HC01IgGneg_S1	13	fus	lmo2654	0.033573
HC01IgGneg_S1	14	lmo1978	lmo1978	0.021724
HC01IgGneg_S1	15	leuS	lmo1660	0.012453
HC01IgGpos_S2	1	tuf	lmo2653	19.292828
HC01IgGpos_S2	2	rplB	lmo2629	12.838749
HC01IgGpos_S2	3	rpmJ	lmo2609	12.666667
HC01IgGpos_S2	4	rpsS	lmo2628	9.228261
HC01IgGpos_S2	5	rpsJ	lmo2633	4.297386
HC01IgGpos_S2	6	atpA	lmo2531	3.646164
HC01IgGpos_S2	7	rpsB	lmo1658	3.152611
HC01IgGpos_S2	8	rplA	lmo0249	3.007278
HC01IgGpos_S2	9	lmo2511	lmo2511	2.493761
HC01IgGpos_S2	10	dnaK	lmo1473	2.177814
HC01IgGpos_S2	11	fus	lmo2654	2.170264
HC01IgGpos_S2	12	pdhA	lmo1052	1.962264
HC01IgGpos_S2	13	rpmA	lmo1540	1.885417
HC01IgGpos_S2	14	lmo1097a	lmo1097a	1.853535
HC01IgGpos_S2	15	rplK	lmo0248	1.794326
HC01IgGpos_S2	16	rpsH	lmo2618	1.553030
HC01IgGpos_S2	17	pgk	lmo2458	1.484849
HC01IgGpos_S2	18	lmo2703	lmo2703	1.326984
HC01IgGpos_S2	19	lmo1391	lmo1391	1.295359
HC01IgGpos_S2	20	tsf	lmo1657	1.255102
HC02IgGneg_S3	1	tuf	lmo2653	0.757806
HC02IgGneg_S3	2	rplB	lmo2629	0.724428
HC02IgGneg_S3	3	lmo0733	lmo0733	0.272189
HC02IgGneg_S3	4	rplA	lmo0249	0.190684
HC02IgGneg_S3	5	atpD	lmo2529	0.143059
HC02IgGneg_S3	6	rplS	lmo1787	0.116959
HC02IgGneg_S3	7	atpA	lmo2531	0.101852
HC02IgGneg_S3	8	fus	lmo2654	0.070504
HC02IgGneg_S3	9	lmo1391	lmo1391	0.069620
HC02IgGneg_S3	10	lmo2511	lmo2511	0.069519
