Muestra	Gene	Locus_Tag	Cobertura	Categoria_Marcador
53_S3	prs	lmo0199	0.083857	Fosforribosilpirofosfato sintetasa
60_S10	prs	lmo0199	0.041929	Fosforribosilpirofosfato sintetasa
67_S17	lmo0733	lmo0733	0.994083	Internalin-like protein
74_S24	prs	lmo0199	0.041929	Fosforribosilpirofosfato sintetasa
76_S26	prs	lmo0199	0.083857	Fosforribosilpirofosfato sintetasa
77_S27	prs	lmo0199	0.083857	Fosforribosilpirofosfato sintetasa
78_S28	prs	lmo0199	0.457023	Fosforribosilpirofosfato sintetasa
79_S29	prs	lmo0199	0.041929	Fosforribosilpirofosfato sintetasa
80_S30	prs	lmo0199	0.041929	Fosforribosilpirofosfato sintetasa
CD13-IgG-neg_S29_L001	prs	lmo0199	0.120545	Fosforribosilpirofosfato sintetasa
CD13-IgG-neg_S29_L002	prs	lmo0199	0.227463	Fosforribosilpirofosfato sintetasa
CD13-IgG-neg_S29_L003	prs	lmo0199	0.031447	Fosforribosilpirofosfato sintetasa
CD13-IgG-neg_S29_L004	prs	lmo0199	0.115304	Fosforribosilpirofosfato sintetasa
